,symbol,timestamp,datetime,okx_fundingRate,binance_fundingRate,bybit_fundingRate,Long OKX Short Binance 30d Net SMA,Long OKX Short Binance 14d Net SMA,Long OKX Short Binance 7d Net SMA,Long OKX Short Binance 3d Net SMA,Long OKX Short Bybit 30d Net SMA,Long OKX Short Bybit 14d Net SMA,Long OKX Short Bybit 7d Net SMA,Long OKX Short Bybit 3d Net SMA
2021,DOT/USDT:USDT,1688054400000,2023-06-29T16:00:00.000Z,0.1508636657903925,-0.12140265,-0.11515020000000001,-0.0024657109695834425,0.005660778132728354,0.02961686690997842,0.01672964100373068,0.005352467363749896,0.004646599561299776,0.00885253833854985,-0.005439242329602656
2022,DOT/USDT:USDT,1688083200000,2023-06-30T00:00:00.000Z,-0.2034328943459295,-0.08698679999999999,-0.0794751,-7.356506243736881e-06,0.010366832848388617,0.025720225115997208,0.04014605628251685,0.007894285160422928,0.009380550705531461,0.0036278179731400583,0.01256543961585018
2023,DOT/USDT:USDT,1688112000000,2023-06-30T08:00:00.000Z,0.0027383349145049998,0.10950000000000001,0.10950000000000001,0.0003085840692593527,0.014593735315729255,0.02387100154328778,0.05011680252889168,0.008210225735926018,0.014236556744300686,0.0012686372575734873,0.020931402528891686
2024,DOT/USDT:USDT,1688140800000,2023-06-30T16:00:00.001Z,0.16997260210069048,0.08246445,-0.0853662,6.242280791454008e-05,0.012202108015601855,0.024531615541590987,0.02762066295289001,0.006099279474581196,0.0054981008727447165,-0.004973941601266158,-0.008684670380443321
2025,DOT/USDT:USDT,1688169600000,2023-07-01T00:00:00.000Z,-0.2252780990495025,0.07514985,0.0618456,0.0018857420815752595,0.022442376995474966,0.03373028059374649,0.047455868397048684,0.007651038748241914,0.01489704485261782,0.006650409165175062,0.004221618397048688
2026,DOT/USDT:USDT,1688198400000,2023-07-01T08:00:00.000Z,0.233687249825643,0.10950000000000001,0.10950000000000001,0.0005044256052466962,0.017727505433014854,0.02706208609402707,0.03442646058441951,0.006269722271913358,0.013361062575871998,0.002810443236884205,-0.006022839415580482
2027,DOT/USDT:USDT,1688227200000,2023-07-01T16:00:00.000Z,-0.124352801005164,0.10950000000000001,0.10950000000000001,0.004261452779468155,0.021807069574834036,0.044025874202826,0.036500273747943845,0.00977757611280149,0.021083587431976882,0.02027219563139742,0.0014286404146105162
2028,DOT/USDT:USDT,1688256000000,2023-07-02T00:00:00.000Z,0.255310528220775,0.10950000000000001,0.10950000000000001,0.003954354458975646,0.014804272847108713,0.03253813733307685,0.047111137153709515,0.007780284458975643,0.013926708561394423,0.007660258761648276,0.015149303820376181
2029,DOT/USDT:USDT,1688284800000,2023-07-02T08:00:00.000Z,0.0038193825882075,0.10950000000000001,0.10950000000000001,0.004334486224741788,0.016352194187357363,0.03063464175817285,0.025932986773375848,0.008160416224741784,0.011354301330214495,0.012287134615315705,0.00733623677337585
2030,DOT/USDT:USDT,1688313600000,2023-07-02T16:00:00.001Z,0.15994350926165102,0.10950000000000001,0.10950000000000001,0.00305849659101758,0.01742647456953393,0.02262654087676042,0.050579965276569334,0.006884426591017577,0.014265574569533921,0.005791698019617564,0.03128849860990268
2031,DOT/USDT:USDT,1688342400000,2023-07-03T00:00:00.000Z,-0.0085964747462265,0.05092845000000001,-0.16764450000000003,0.00405144040357259,0.015446091847163638,0.03414518450867549,0.04425539087660235,0.005448782070239254,0.004228859704306486,0.004596870222961208,-0.0001565924567309772
2032,DOT/USDT:USDT,1688371200000,2023-07-03T08:00:00.000Z,-0.15425015556153002,0.10950000000000001,0.10950000000000001,0.007100280997028565,0.025078226547974248,0.042343322713484205,0.06169855648505069,0.008502489330361912,0.013964758690831386,0.014382758427769921,0.01728657315171735
2033,DOT/USDT:USDT,1688400000000,2023-07-03T16:00:00.000Z,0.318386493318705,0.10950000000000001,0.10950000000000001,0.003192657618980833,0.01834005279502557,0.03429404969103578,0.04821207412749352,0.004594865952314172,0.005727738509311281,0.006117092548178637,0.022447940794160195
2034,DOT/USDT:USDT,1688428800000,2023-07-04T00:00:00.001Z,-0.07353872447512651,0.10950000000000001,0.08545380000000001,0.0052797901687047875,0.030202754547982998,0.047500733864286854,0.03516882695256286,0.006414818502038112,0.014113033119411568,0.015501705292858282,0.008211143619229531
2035,DOT/USDT:USDT,1688457600000,2023-07-04T08:00:00.000Z,0.075758458526373,0.08191695,0.10950000000000001,0.004955820028107722,0.02822591979886779,0.04698328351216806,0.04965168709692619,0.0063973266947743865,0.01131651265601064,0.015609969226453782,0.025758787096926188
2036,DOT/USDT:USDT,1688486400000,2023-07-04T16:00:00.000Z,-0.0535851772011555,0.10950000000000001,0.10789035,0.0060833987583253065,0.0377357935644815,0.04927509651777907,0.04178861778536968,0.007507020424991968,0.015247622135910065,0.022765667946350494,0.017716867785369683
2037,DOT/USDT:USDT,1688515200000,2023-07-05T00:00:00.000Z,0.036736942542396,0.09472845,0.10950000000000001,0.006975520981658938,0.03696943995151968,0.04623130639423286,0.0644332884163007,0.008563270981658933,0.01731940423723396,0.018089284965661423,0.04200282174963401
2038,DOT/USDT:USDT,1688544000000,2023-07-05T08:00:00.000Z,0.18822879498732598,0.10950000000000001,0.10950000000000001,0.006650223071331021,0.03634145715958747,0.04281196280016877,0.04394335370528753,0.008237973071331015,0.017358067873873177,0.015863491371597354,0.02151288703862085
2039,DOT/USDT:USDT,1688572800000,2023-07-05T16:00:00.000Z,-0.12469983927938999,0.0080154,0.10950000000000001,0.007244242145152816,0.04098326604451611,0.03888466550235664,0.06429432576540318,0.009959598811819476,0.024054305330230386,0.019073508359499492,0.05313992576540318
2040,DOT/USDT:USDT,1688601600000,2023-07-06T00:00:00.000Z,0.1876183226446995,0.1043097,0.10950000000000001,0.011032694819185467,0.041446356540176116,0.04640845960845028,0.04842393161085587,0.011872803152518796,0.02115287796874753,0.02817723103702171,0.06213211494418921
2041,DOT/USDT:USDT,1688630400000,2023-07-06T08:00:00.000Z,0.051322003313914503,0.011333249999999998,0.014913899999999999,0.005776843878824728,0.039168245133216754,0.03039547274422599,0.014675163958028674,0.004680748878824728,0.021171659418931035,0.01806264417279742,0.028781197291362037
2042,DOT/USDT:USDT,1688659200000,2023-07-06T16:00:00.000Z,0.121510567162608,-0.28661624999999996,-0.1679949,0.0013838254530916551,0.026771395984906608,0.02392592505983477,-0.007462649802404989,0.0013108254530916508,0.01289826741347803,0.01694399648840621,0.01982353353092835
2043,DOT/USDT:USDT,1688688000000,2023-07-07T00:00:00.000Z,-0.3210379183062615,0.0311637,0.0886293,0.003218843984475995,0.030436301848876295,0.03515237858175534,0.011333227289943354,0.003784350651142675,0.017088512563162,0.030549207153183922,0.04767627728994335
2044,DOT/USDT:USDT,1688716800000,2023-07-07T08:00:00.000Z,0.1797736124693475,-0.18775965000000003,-0.0710874,-0.0008804325000511895,0.018218953692168187,0.012566905841048567,-0.030188078703720485,0.0011944708332821475,0.007394096549311034,0.01351955584104857,0.016053771296279516
2045,DOT/USDT:USDT,1688745600000,2023-07-07T16:00:00.000Z,-0.3141915703320375,-0.1300203,-0.08579325,-0.0006060913596182412,0.025017818368289507,0.025504021194988,-0.027845179466955815,0.0015324436403817586,0.015790357654003783,0.03655465690927371,0.02348963719971086
2046,DOT/USDT:USDT,1688774400000,2023-07-08T00:00:00.000Z,0.1277251162570935,0.03132795,-0.1378824,0.0002308323624585649,0.020168933863257823,0.006607587132769125,-0.04499947654636664,-0.0005511193042080924,0.008442266006114965,0.010234122847054848,-0.014107093213033316
2047,DOT/USDT:USDT,1688803200000,2023-07-08T08:00:00.000Z,-0.120593922377952,-0.08631885,-0.18276645,-1.1522434977436309e-05,0.020607749046817034,0.014153411999606996,-0.03244349128355798,-0.0014818641016440968,0.007998824046817033,0.013187204856749847,-0.012267507950224658
2048,DOT/USDT:USDT,1688832000000,2023-07-08T16:00:00.000Z,0.08475361518589199,0.0169725,-0.025360199999999996,-0.0017829314607735274,0.02190788319190565,-0.00021010781901472376,-0.05472086400192265,-0.0037236364607735385,0.008540018906191356,-0.003192157819014718,-0.05052458066858932
2049,DOT/USDT:USDT,1688860800000,2023-07-09T00:00:00.000Z,-0.1274398411655025,0.06457215000000001,0.09779444999999999,0.0008963351223076718,0.024207408075751967,0.015876678818427064,-0.024129684689677983,-0.0003496532110256582,0.011068450932894821,0.014476643104141351,-0.01681873468967799
2050,DOT/USDT:USDT,1688889600000,2023-07-09T08:00:00.000Z,0.1193157708489735,-0.062272650000000006,-0.10077285,-0.002437368584218312,0.01641592128209125,0.002197200806009631,-0.03986298108246231,-0.004642090250884972,0.005625478424948396,-0.0010361777654189382,-0.0372276810824623
2051,DOT/USDT:USDT,1688918400000,2023-07-09T16:00:00.000Z,-0.09487726918313098,-0.11104395,-0.0628311,-0.0010132670670470684,0.013227985804356041,0.0038294307319516304,0.003688145178175357,-0.0026822904003803985,0.004341800090070321,0.002891902160523062,-0.0014997214884913076
2052,DOT/USDT:USDT,1688947200000,2023-07-10T00:00:00.000Z,0.128124762020703,-0.14563500000000001,-0.12294660000000002,-0.004996926494957743,0.011051957935386684,-0.012041268637902156,-0.06586311930259847,-0.0070231631616244055,0.0015533543639581044,-0.00149016149504501,-0.07491511930259848
2053,DOT/USDT:USDT,1688976000000,2023-07-10T08:00:00.000Z,-0.28599824750246255,-0.1020102,-0.06360855,0.007888220304404284,0.013251929226860863,-0.015839464259762508,-0.004582973750175141,0.005670966971070962,0.005461525655432287,-0.003459707116905364,-0.02233170708350846
